"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
Synchronization of media storages has been completed.,Sinkronisasi penyimpanan media telah selesai.
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,Web server anda pengaturannya tidak benar dan mengizinkan tanpa autorisasi ke file-file sensitiff. Silahkan hubungi penyedia hosting anda.
System Messages:,Pesan Sistem:
Critical System Messages,Sistem pesan kritis
Major System Messages,Pesan Sistem Utama
System messages,Pesan sistem
Close,Tutup
See All (,Lihat Semua (
 unread), belum dibaca)
Show Toolbar,Tampilkan Toolbar
Show List,Tampilkan Daftar
Use HTTPS to Get Feed,Gunakan HTTPS untuk Mendapatkan Feed
Update Frequency,Perbarui Frekuensi
Last Update,Pembaharuan Terakhir
Severity,Kerasnya
Date Added,Tanggal Ditambahkan
Message,Pesan
Actions,Tindakan
Close popup,Tutup popup
You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.,Anda telah melihat dan menyelesaikan semua pemberitahuan sistem terbaru. Silakan segarkan halaman web untuk menghapus pemberitahuan pemberitahuan.
Manage Shopping Cart,Atur Keranjang Belanja
Create Order,Buat Pesanan
Back,Kembali
Add Products,Tambahkan Produk
Update Items and Quantities,Perbarui Item dan Kuantitas
Are you sure you want to clear your cart?,Anda yakin ingin mengosongkan keranjang belanja?
Clear my shopping cart,Kosongkan keranjang Belanja saya
Add selections to my cart,Tambahkan pilihan ke keranjang Saya
Cancel,Batal
Shopping Cart for %1 in %2,Daftar Belanja untuk %1 di %2
Select products you want to buy,Pilih Produk Yang Ingin Anda Beli
Product,Produk
Price,Harga
Quantity,Kuantitas
Products in the Comparison List (%1),Produk dalam Daftar Perbandingan harga (%1)
Last ordered items (%1),Item terakhir yang dipesan (%1)
Products,Produk
ID,Id
SKU,SKU
Recently Compared Products (%1),Produk yang Baru Dibanding (%1)
Recently Viewed Products (%1),Produk yang Baru Dilihat (%1)
Add to Shopping Cart by SKU,Tambahkan ke Keranjang Belanja oleh SKU
Add to Shopping Cart,Kembali ke Keranjang Belanja
Wish List (%1),Daftar Keinginan (%1)
Apply,Menerapkan
Configure,Konfigurasikan
Add to Order by SKU,Tambahkan ke Daftar Pesanan SKU
Add to Order,Tambahkan ke Pesanan
Add Products to Order,Tambahkan Produk Ke Pesanan
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span> <span id =""sku-attention-num"">produk(s)%1</span> memerlukan perhatian. </span>"
Remove All,Hapus semuanya
Only %1%2%3 left in stock,Hanya Tersedia %1%2%3
You can buy up to %1 of these per purchase.,Anda dapat membeli hingga %1 dari pembelian ini.
You must buy at least %1 of these per purchase.,Anda harus membeli setidaknya% 1 dari pembelian ini.
Specify the product's options.,Silakan Tentukan pilihan produk.
Alert me when this item is available.,Peringatkan saya bila item ini tersedia.
We can't find this customer.,Kami tidak dapat menemukan pelanggan ini.
Shopping cart management is disabled for this customer.,Pengelolaan keranjang belanja di nonaktifkan untuk pelanggan ini.
We can't find this store.,Kami tidak dapat menemukan toko ini.
Customers,Pelanggan
Shopping Cart,Keranjang Belanja
"Sorry, something went wrong. You can find out more in the error log.","Maaf, ada yang tidak beres. Anda bisa mencari tahu lebih dalam di log kesalahan."
You do not have access to this.,Anda tidak memiliki akses untuk layanan ini.
Ordered item id is not received.,ID item yang dipesan tidak diterima.
Ordered item is not loaded.,Item yang dipesan tidak dimuat.
Quote item id is not received.,Id item Kutipan tidak diterima.
Quote item is not loaded.,Item kutipan tidak dimuat.
The wish list item id is not received.,Id item daftar keinginan tidak diterima.
The wish list item is not loaded.,Item daftar keinginan tidak dimuat.
An error has occurred. See error log for details.,Sebuah kesalahan telah terjadi. Lihat log kesalahan untuk rinciannya.
You cannot configure a product.,Anda tidak dapat mengkonfigurasi produk.
You removed the items.,Anda menghapus item.
You removed the item.,Anda menghapus item.
You added %1 to your shopping cart.,%1 ke keranjang belanja Anda.
You cannot add a product.,Anda tidak dapat menambahkan produk.
Order by SKU,Urutkan menurut SKU
The SKU was not found in the catalog.,SKU tidak ditemukan di katalog.
Availability: Out of stock.,Ketersediaan: Habis.
We don't have as many of these as you want.,Kami tidak memiliki sebanyak ini yang Anda inginkan.
You can't add this many to your cart.,Anda tidak dapat menambahkan ini banyak ke keranjang Anda.
You need to choose options for your item.,Kamu perlu untuk memilih pilihan untuk item kamu.
We can't add the item to your cart.,Kami tidak dapat menambah item ke keranjang anda.
"Please enter an actual number in the ""Qty"" field.","Silakan masukkan nomor sebenarnya di bidang ""Qty""."
This product is assigned to another website.,Produk ini ditugaskan ke situs web lain.
You can add only enabled products.,Anda hanya dapat menambahkan produk yang diaktifkan.
You cannot upload this file.,Anda tidak bisa mengupload file ini.
The file is empty.,File itu kosong.
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Anda belum masuk SKU produk. Silakan <a href=""%1"">klik di sini </a> untuk menambahkan produk(s) oleh SKU."
You have not entered a product SKU.,Anda belum masuk SKU produk.
"We can't add a product to cart by id ""%1"".","Kami tidak dapat menambahkan produk ke keranjang dengan id ""%1""."
Something went wrong while reordering this product.,Ada yang tidak beres saat memesan ulang produk ini.
We can't find this wish list.,Kami tidak dapat menemukan daftar keinginan ini.
You added %1 product to your shopping cart.,Anda menambahkan %1 produk ke keranjang belanja Anda.
You added %1 products to your shopping cart.,Anda menambahkan %1 produk ke keranjang belanja Anda.
%1 product requires your attention.,Produk %1 membutuhkan perhatian Anda.
%1 products require your attention.,produk %1 memerlukan perhatian Anda.
"Yes, for Specified Customer Groups","Ya, untuk Kelompok Pelanggan Tertentu"
"Yes, for Everyone","Ya, untuk semua orang"
No,Tidak
The file is corrupt.,Datanya hilang.
Please upload the file in .csv format.,Unggah file dalam format .csv.
%1 item(s) need your attention.,%1 item membutuhkan perhatian anda.
Apply Coupon Code,Terapkan Kode Kupon
Remove Coupon Code,Hapus Kode Kupon
Remove,Hapus
"The coupon code ""%1"" is not valid.","Kode kupon ""%1"" tidak valid."
Shopping Cart Items,Item di Keranjang belanja
Qty,Jml
Subtotal,Subtotal
Discount,Diskon
Row Subtotal,Subtotal Baris
Action,Tindakan
No ordered items,Tidak ada item yang dipesan
Total %1 product(s),Total %1 produk(s)
Subtotal:,Subtotal:
Please select,Silahkan pilih
Move to Wish List,Pindahkan ke wish list
No item specified.,Tidak ada item yang ditentukan.
Are you sure you want to remove this item?,Yakin ingin menghapus barang ini?
SKU number,Nomor SKU
Upload File,Unggah File
"Your csv file must include ""sku"" and ""qty"" columns.","File csv Anda harus menyertakan kolom ""sku"" dan ""qty""."
Reset,Set ulang
SKU: ,SKU:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Hanya stok <span id = ""%1_max_allowed"">%2 </span>"
Item,Barang
See price before order confirmation.,Lihat harga sebelum konfirmasi pesanan.
What's this?,Apa ini?
Incl. Tax,Incl. Pajak
Excl. Tax,Belum termasuk pajak
Edit item parameters,Menyunting parameter item
Edit,Ubah
Remove item,Hapus item
Products Requiring Attention,Produk yang Membutuhkan Perhatian
Add to Cart,Masukkan ke keranjang
Sku,Sku
File,Mengajukan
File extensions allowed: .csv,Ekstensi file diizinkan: .csv
Add Row,Menambahkan baris
Remove Row,Hapus Baris
Add Products By SKU,Tambahkan Produk Dengan SKU
Shopping Cart Management,Manajemen Keranjang Belanja
View Shopping Cart,Lihat Keranjang Belanja
View and modify Shopping Cart,Lihat dan ubah Shopping Cart
Order by SKU Settings,Pengaturan Pesan melalui SKU
Enable Order by SKU on My Account in Storefront,Aktifkan Pesanan dengan SKU di Akun Saya di etalase
Customer Groups,Kelompok pelanggan
Apply Coupon,Terapkan Kupon
Order by SKU Description,Pesan menurut SKU Deskripsi
Display a Link to Loading a Spreadsheet,Tampilkan Tautan untuk Memuat Spreadsheet
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,Mendefinisikan apakah ada tautan ke Akun Saya &gt; Order by SKU page akan ditampilkan di widget
Link Text,Teks tautan
The text of the link to the My Account &gt; Order by SKU page,Teks tautan ke Akun Saya &gt; Pesan melalui halaman SKU
Load a list of SKUs,Muat daftar SKU
Order by SKU Template,Pesan menurut Template SKU
SKU not found in catalog.,SKU tidak ditemukan di katalog.
This file needs to be in .csv format.,File ini harus dalam format .csv.
This customer couldn't be found. Verify the customer and try again.,Pelanggan ini tidak dapat ditemukan. Periksa pelanggan dan coba lagi.
This store couldn't be found. Verify the store and try again.,Toko ini tidak dapat ditemukan. Periksa toko dan coba lagi.
"An error occurred. For details, see the error log.","Terjadi kesalahan. Untuk rincian, lihat log kesalahan."
Orders can only be completed in an active store. Verify the store and try again.,Pesanan hanya dapat diselesaikan pada toko yang aktif. Periksa toko dan coba lagi.
The ordered item needs to be loaded. Load the item and try again.,Item pesanan harus dimuat. Muat dan coba lagi.
The quote item ID needs to be received. Set the ID and try again.,ID item kutipan perlu diterima. Atur ID dan coba lagi.
The quote item needs to be loaded. Load the item and try again.,Item pesanan harus dimuat. Muat dan coba lagi.
The wish list item ID needs to be received. Set the ID and try again.,ID item daftar keinginan perlu diterima. Atur ID dan coba lagi.
The wish list item needs to be loaded. Load the item and try again.,Item daftar keinginan perlu dimuat. Muat item dan coba lagi.
The file is corrupt and can't be used.,File rusak dan tidak dapat digunakan.
Please correct the data sent.,Perbaiki data yang dikirim.
Entity type model '%1' is not found,Model tipe badan ' %1 ' tidak ditemukan
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Model jenis entitas harus berupa instance dari \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
There are no product types available for export,Tidak ada jenis produk yang tersedia untuk diekspor
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 kelas tidak mengimplementasikan \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface
Sales Rule,Kaidah Penjualan
Index sales rule,Aturan penjualan indeks
Related Search Terms,Penelusuran Terkait
Add New Search Term,Tambahkan Istilah Pencarian Baru
button_label,label tombol
Missing search engine parameter.,Parameter mesin telusur yang hilang.
Successful! Test again?,Sukses! Uji lagi?
Connection failed! Test again?,Koneksi gagal! Uji lagi?
Enable Search Recommendations,Aktifkan Rekomendasi Pencarian
When you enable this option your site may slow down.,Ketika anda memungkinkan ini pilihan anda situs mungkin pelan-pelan.
Search Recommendations Count,Pencarian rekomendasi menghitung
Show Results Count for Each Recommendation,Menunjukkan hasil menghitung untuk masing-masing rekomendasi
Enable Search Suggestions,Memungkinkan pencarian saran
Search Suggestions Count,Pencarian saran menghitung
Show Results Count for Each Suggestion,Menunjukkan hasil menghitung untuk masing-masing saran
Related search terms,Terkait pencarian istilah
Did you mean,Apakah maksud Anda
ID,Id
Search Query,Kueri penelusuran
Store,Toko
Results,Hasil
Uses,Kegunaan
Redirect URL,Alihkan URL
Suggested Term,Istilah yang Disarankan
Yes,Ya
No,Tidak
Action,Tindakan
Edit,Ubah
Synonym,Sinonim
"RPC call failed, connection timed out after %time_out.","Panggilan RPC gagal, koneksi kehabisan waktu setelah %time_out."
Message has been rejected: %1,Pesan telah ditolak:%1
Error while checking if topic is synchronous,Kesalahan saat memeriksa apakah topik bersifat sinkron
Subscription status,Status langganan
"Sorry, there has been an error processing your request. Please try again later.","Maaf, telah terjadi kesalahan saat memproses permintaan Anda. Silakan coba lagi nanti."
Time value has an unsupported format,Nilai waktu memiliki format yang tidak didukung
Cron settings can't be saved,Setelan cron tidak dapat disimpan
There was an error save new configuration value.,Terjadi kesalahan saat menyimpan nilai konfigurasi baru.
Please select a vertical.,Silahkan pilih vertikal.
--Please Select--,--Silahkan pilih--
Command was not found.,Perintah tidak ditemukan.
Input data must be string or convertible into string.,Input data harus berupa string atau convertible menjadi string.
Input data must be non-empty string.,Data masukan harus berupa string yang tidak kosong.
Not valid cipher method.,Metode cipher tidak valid.
Encryption key can't be empty.,Kunci enkripsi tidak boleh kosong.
"Source ""%1"" is not exist","Sumber ""%1"" tidak ada"
"These arguments can't be empty ""%1""","Argumen ini tidak boleh kosong ""%1"""
Cannot find predefined integration user!,Tidak dapat menemukan pengguna integrasi yang telah ditentukan sebelumnya!
File is not ready yet.,File belum siap.
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,URL Base Anda telah diubah dan laporan Anda sedang diperbarui. Pelaporan Lanjutan akan tersedia setelah perubahan ini diproses. Silakan coba lagi nanti.
Failed to synchronize data to the Magento Business Intelligence service. ,Gagal menyinkronkan data ke layanan Magento Business Intelligence.
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Coba lagi Sinkronisasi</a>"
TestMessage,Uji pesan
Apps and Games,Aplikasi dan Game
Athletic/Sporting Goods,Barang olahraga / atletik
Art and Design,Seni dan Desain
Advanced Reporting,Pelaporan Lanjutan
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Dapatkan wawasan baru dan ambil kendali kinerja bisnis Anda, dengan menggunakan laporan produk, pesanan, dan pelanggan dinamis kami yang disesuaikan dengan data pelanggan Anda."
Go to Advanced Reporting,Buka Pelaporan Lanjutan
Analytics,Analytics
API,API unggun
Configuration,Konfigurasi
Business Intelligence,Business Intelligence
BI Essentials,BI Essentials
"This service provides a dynamic suite of reports with rich insights about your business.,module,Magento_Analytics
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the,module,Magento_Analytics
""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">,module,Magento_Analytics
terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.,module,Magento_Analytics
Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the,module,Magento_Analytics
""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">,module,Magento_Analytics
terms and conditions</a>."
Advanced Reporting Service,Layanan Pelaporan Lanjutan
Time of day to send data,Waktu hari untuk mengirim data
Industry,Industri
"In order to personalize your Advanced Reporting experience, please select your industry.","Untuk mempersonalisasi pengalaman Pelaporan Lanjutan Anda, pilih industri Anda."
<strong>Get more insights from Magento Business Intelligence</strong>,<strong> Dapatkan lebih banyak wawasan dari Magento Business Intelligence</strong>
"Magento Business Intelligence provides you with a simple and clear path to,module,Magento_Analytics
becoming more data driven.</br> Learn more about <a target=""_blank"",module,Magento_Analytics
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to,module,Magento_Analytics
becoming more data driven.</br> Learn more about <a target=""_blank"",module,Magento_Analytics
href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
Auto Parts,Bagian Mobil
"Baby/Children’s Apparel, Gear and Toys","Perlengkapan Bayi/Anak, Gear dan Mainan"
Beauty and Cosmetics,Kecantikan dan Kosmetik
"Books, Music and Magazines","Buku, Musik dan Majalah"
Crafts and Stationery,Kerajinan Tangan dan Alat Tulis
Consumer Electronics,Elektronik Konsumen
Deal Site,Situs kesepakatan
Fashion Apparel and Accessories,Pakaian dan Aksesoris Fashion
"Food, Beverage and Grocery","Makanan, Minuman dan Kelontong"
Home Goods and Furniture,Barang rumah dan perabot
Home Improvement,Perbaikan rumah
Jewelry and Watches,Perhiasan dan Jam
Mass Merchant,Mass Merchant
Office Supplies,Peralatan Kantor
Outdoor and Camping Gear,Outdoor dan Camping Gear
Pet Goods,Barang hewan
Pharma and Medical Devices,Pharma dan Alat Kesehatan
Technology B2B,Teknologi B2B
Other,Lain
The time value is using an unsupported format. Enter a supported format and try again.,The time value is using an unsupported format. Enter a supported format and try again.
Please select an industry.,Please select an industry.
The data is invalid. Enter the data as a string or data that can be converted into a string and try again.,The data is invalid. Enter the data as a string or data that can be converted into a string and try again.
The data is invalid. Enter the data as a string and try again.,The data is invalid. Enter the data as a string and try again.
The data is invalid. Use a valid cipher method and try again.,The data is invalid. Use a valid cipher method and try again.
Enter the encryption key and try again.,Enter the encryption key and try again.
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
Retry Synchronization,Retry Synchronization
Back,Kembali
Done,Selesai
Retry,Coba Ulang
'Action Details - #' .,'Action Details - #' .
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
Bulk Actions Log,Bulk Actions Log
Bulk uuid %bulkUuid not exist,Bulk uuid %bulkUuid not exist
Topic %1,Topic %1
Something went wrong while processing the request.,Ada yang tidak beres saat memproses permintaan.
Error processing %key element of input data,Error processing %key element of input data
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
%1 item(s) are currently being updated.,%1 item(s) are currently being updated.
"Task ""%1"": ","Task ""%1"": "
%1 item(s) have been scheduled for update.,%1 item(s) have been scheduled for update.
%1 item(s) have been successfully updated.,%1 item(s) have been successfully updated.
%1 item(s) failed to update,%1 item(s) failed to update
Details,Rincian
View Details,Lihat rincian
Dismiss,Hilangkan
"Pending, in queue...","Ditunda, dalam antrean..."
%1 items selected for mass update,%1 item dipilih untuk pembaruan massal
", %1 successfully updated",", %1 berhasil diperbarui"
", %1 failed to update",", %1 gagal diperbarui"
Something went wrong.,Ada sesuatu yang salah.
Action Log,Catatan Tindakan
Report,Laporan
Bulk Actions,Tindakan Massal
Action Logs,Catatan Tindakan
Days Saved in Log,Days Saved in Log
Description of Operation,Description of Operation
Summary,Ringkasan
Start Time,Waktu mulai
Items to Retry,Items to Retry
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
Items That Can’t Be Updated.,Items That Can’t Be Updated.
ID,Id
Status,Subjek
Meta Information,Informasi Meta
Error,Kesalahan
Dismiss All Completed Tasks,Dismiss All Completed Tasks
Action Details - #,Action Details - #
Number of Records Affected,Number of Records Affected
We can't find the role for the user you wanted.,Kami tidak dapat menemukan wewenang untuk pengguna yang Anda inginkan.
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.
The role wasn't found for the user. Verify the role and try again.,Wewenang tersebut tidak ditemukan untuk pengguna. Periksa wewenang tersebut dan coba lagi.
You created the order.,Anda membuat pesanan.
Order saving error: %1,Pesan kesalahan pemesanan: %1
Please choose a payment method.,Silakan pilih metode pembayaran.
We can't process your order right now. Please try again later.,Kami tidak dapat memproses pesanan Anda saat ini. Silakan coba lagi nanti.
An error occurred on the server. Please try to place the order again.,Kesalahan terjadi pada server. Silakan coba untuk memesan lagi.
Credit Card: xxxx-%1,Credit Card: xxxx-%1
amount %1,amount %1
failed.,failed.
successful.,successful.
Authorize.Net Transaction ID %1.,Authorize.Net Transaction ID %1.
authorize,authorize
authorize and capture,authorize and capture
capture,capture
refund,refund
void,void
Gateway error: %1,Gateway error: %1
Something went wrong in the payment gateway.,Something went wrong in the payment gateway.
Invalid amount for capture.,Invalid amount for capture.
Payment capturing error.,Payment capturing error.
Invalid transaction ID.,ID transaksi tidak cocok.
Payment voiding error.,Payment voiding error.
Invalid amount for refund.,Invalid amount for refund.
Payment refunding error.,Payment refunding error.
The transaction was declined because the response hash validation failed.,The transaction was declined because the response hash validation failed.
This payment didn't work out because we can't find this order.,Pembayaran ini tidak berhasil karena kami tidak dapat menemukan pesanan ini.
There was a payment authorization error.,There was a payment authorization error.
Please enter a transaction ID to authorize this payment.,Please enter a transaction ID to authorize this payment.
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,Ada yang tidak beres: jumlah yang dibayarkan tidak sesuai dengan jumlah pesanan. Perbaiki ini dan coba lagi.
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaksi %1 telah dibatalkan/ditolak. Status pembayaran adalah "" %2"". Jumlah %3."
Authorize Only,Hanya yang Berwenang
Authorize and Capture,Otorisasi dan Tangkap
Unable to get transaction details. Try again later.,Unable to get transaction details. Try again later.
Electronic payments save the trees.,Electronic payments save the trees.
Credit Card Type,Tipe kartu kredit
Please Select,Silahkan pilih
Credit Card Number,Nomor kartu kredit
Expiration Date,Tanggal kadaluarsa
Card Verification Number,Nomor Verifikasi Kartu
Fraud Detection ,Fraud Detection
FDS Filter Action,FDS Filter Action
AVS Response,AVS Response
Card Code Response,Card Code Response
CAVV Response,CAVV Response
Fraud Filters,Fraud Filters
Place Order,Memesan
"Sorry, but something went wrong. Please contact the seller.","Sorry, but something went wrong. Please contact the seller."
Authorize.net Direct Post,Authorize.net Direct Post
Enabled,Diaktifkan
Payment Action,Tindakan Pembayaran
Title,Judul
API Login ID,API Login ID
Transaction Key,Kunci transaksi
Merchant MD5,Merchant MD5
New Order Status,Status Pesanan Baru
Test Mode,Mode Uji
Gateway URL,URL Gateway
Transaction Details URL,Transaction Details URL
Accepted Currency,Accepted Currency
Debug,Debugging
Email Customer,Email Customer
Merchant's Email,Merchant's Email
Credit Card Types,Jenis Kartu Kredit
Credit Card Verification,Credit Card Verification
Payment from Applicable Countries,Pembayaran dari Negara yang Berlaku
Payment from Specific Countries,Pembayaran dari Negara Tertentu
Minimum Order Total,Minimum Total Pesanan
Maximum Order Total,Maksimum Total Total
Sort Order,Pengurutan
Cannot place order.,Tidak dapat melakukan pemesanan.
'Gateway error: ' .,'Gateway error: ' .
Unable to place order. Please try again later.,Tidak dapat melakukan pemesanan. Silakan coba lagi nanti.
A server error stopped your order from being placed. Please try to place your order again.,A server error stopped your order from being placed. Please try to place your order again.
The transaction details are unavailable. Please try again later.,The transaction details are unavailable. Please try again later.
Authorize.Net Direct Post (Deprecated),Authorize.Net Direct Post (Deprecated)
Signature Key,Signature Key
There was an error while trying to process the request.,There was an error while trying to process the request.
This transaction cannot be refunded with its current status.,This transaction cannot be refunded with its current status.
